name,type,color,sweetness,crunchiness,juiciness,acidity,fiber_g,sugar_g,seeds,has_peel,typical_weight_g,is_tropical
tomato,vegetable,red,4.5,2.7,7.3,2.7,1.92,4.52,few,False,128,False
grape,fruit,blue,5.7,2.2,7.1,4.9,1.55,2.8,few,False,5,False
potato,vegetable,brown,1.7,6.6,2.3,1.0,2.81,1.17,none,True,204,False
strawberry,fruit,red,8.0,2.9,6.5,3.3,1.67,5.98,many,False,15,False
apple,fruit,red,4.9,7.2,4.9,4.8,3.63,17.53,few,True,154,False
strawberry,fruit,red,6.7,3.9,7.8,4.2,2.13,7.63,many,False,19,False
potato,vegetable,brown,2.0,6.2,3.0,0.7,2.22,0.93,none,True,236,False
apple,fruit,brown,5.1,4.4,4.6,2.5,5.48,16.28,few,True,204,False
cucumber,vegetable,green,2.3,6.3,9.1,2.2,0.51,1.45,many,True,379,False
blueberry,fruit,blue,6.8,1.9,6.3,2.6,2.32,7.28,few,False,2,False
mango,fruit,green,7.9,2.5,7.0,5.2,2.59,14.58,few,True,228,True
bell_pepper,vegetable,green,5.2,3.5,6.0,2.3,2.07,3.06,many,True,125,False
spinach,vegetable,red,0.6,1.9,6.8,2.1,2.7,0.56,none,False,24,False
carrot,vegetable,orange,3.4,7.7,2.1,3.1,3.06,4.83,none,False,64,False
pineapple,fruit,white,6.1,0.8,9.5,5.6,2.25,10.69,many,True,1000,True
grape,fruit,purple,6.8,0.9,7.6,4.2,0.98,3.92,few,False,4,False
apple,fruit,red,4.5,6.6,4.5,3.9,4.87,17.96,none,True,195,False
tomato,vegetable,red,6.1,2.6,7.9,4.4,1.15,3.34,many,False,143,False
blueberry,fruit,purple,5.0,0.7,6.3,3.3,2.18,9.14,few,False,1,False
potato,vegetable,brown,2.0,6.3,3.0,1.2,1.88,1.28,none,True,199,False
pear,fruit,green,6.0,4.4,4.7,3.2,4.34,17.12,none,True,215,False
tomato,vegetable,red,4.0,1.9,7.6,3.6,1.06,3.49,many,False,119,False
potato,vegetable,brown,1.7,6.3,2.2,1.0,2.47,1.01,none,True,224,False
potato,vegetable,yellow,2.8,6.8,2.3,1.5,2.09,1.16,none,True,197,False
carrot,vegetable,orange,5.2,8.3,3.0,2.5,2.16,5.97,none,False,55,False
potato,vegetable,brown,1.1,6.2,2.0,1.6,1.83,0.87,none,True,209,False
watermelon,fruit,green,7.2,1.0,10.0,3.3,0.69,4.28,many,True,8185,False
pear,fruit,blue,6.7,6.5,4.2,3.4,5.91,14.95,few,True,154,False
spinach,vegetable,green,0.7,1.1,6.9,1.9,2.16,0.47,few,False,26,False
mango,fruit,orange,9.2,2.7,7.3,4.3,1.94,14.07,few,True,206,True
pear,fruit,green,6.5,5.8,3.8,4.9,4.14,17.89,few,True,162,False
carrot,vegetable,orange,5.8,8.6,2.2,3.1,2.88,4.94,none,False,43,False
grape,fruit,purple,4.9,2.3,8.1,4.4,1.16,2.11,few,False,5,False
grape,fruit,purple,6.7,2.6,8.0,4.6,0.88,4.18,few,False,5,False
onion,vegetable,white,2.7,6.5,3.1,5.6,1.04,3.5,many,True,123,False
banana,fruit,yellow,7.2,1.3,5.6,3.1,3.21,15.94,none,True,128,True
pear,fruit,green,5.9,4.3,8.4,5.0,5.64,17.12,few,True,183,False
strawberry,fruit,purple,7.0,3.9,6.0,3.2,1.72,8.51,many,False,17,False
pear,fruit,green,5.5,5.4,6.0,2.7,6.88,16.49,few,True,196,False
carrot,vegetable,orange,4.2,8.1,3.8,2.4,2.79,5.91,none,False,65,False
carrot,vegetable,orange,4.5,7.8,2.1,2.7,3.54,4.73,none,False,56,False
mango,fruit,orange,8.9,1.6,7.5,4.4,2.77,13.77,few,True,177,True
bell_pepper,vegetable,green,3.8,4.2,6.1,3.3,1.99,2.87,many,True,134,False
orange,fruit,orange,7.1,2.7,8.6,5.6,2.09,12.8,many,True,129,True
pineapple,fruit,white,6.5,0.6,9.3,7.3,2.73,8.31,many,True,903,True
pineapple,fruit,brown,6.1,0.9,8.3,5.9,1.85,10.17,many,True,942,True
cucumber,vegetable,green,2.5,6.6,7.9,1.7,0.45,2.19,few,True,278,False
pear,fruit,green,6.8,4.9,7.5,4.6,4.92,11.45,few,True,209,False
apple,fruit,red,5.3,5.7,3.1,4.2,3.89,19.12,few,True,169,False
banana,fruit,red,5.7,2.6,6.1,3.8,3.59,14.1,none,True,107,True
pear,fruit,green,4.8,5.3,5.6,3.2,4.95,16.36,few,True,147,False
strawberry,fruit,red,7.0,3.3,7.1,4.0,1.78,6.88,many,False,20,False
apple,fruit,red,4.0,4.6,6.0,3.0,3.77,19.26,few,True,195,False
watermelon,fruit,blue,8.2,1.4,9.9,2.6,0.32,5.29,many,True,8483,False
blueberry,fruit,blue,5.3,1.6,5.7,2.8,1.57,11.52,few,False,2,False
grape,fruit,purple,7.6,3.7,7.5,4.8,1.42,4.83,few,False,3,False
pear,fruit,green,5.6,6.9,4.3,5.0,5.72,16.72,few,True,186,False
orange,fruit,orange,7.0,1.8,8.0,5.0,2.47,9.56,many,True,142,True
carrot,vegetable,orange,5.8,8.4,2.3,3.8,2.89,6.88,none,False,61,False
pineapple,fruit,brown,6.7,1.7,10,5.2,2.43,10.85,many,True,828,True
orange,fruit,orange,6.9,3.5,7.7,6.6,2.17,14.69,many,True,151,True
grape,fruit,purple,7.5,1.1,6.2,3.0,1.71,3.29,few,False,4,False
watermelon,fruit,green,6.2,0.7,8.3,3.3,0.65,5.31,many,True,9203,False
apple,fruit,red,6.7,5.7,5.6,4.0,3.97,19.7,few,True,173,False
strawberry,fruit,red,7.9,1.7,6.9,3.5,1.9,6.87,many,False,14,False
carrot,vegetable,orange,4.3,7.5,4.4,3.2,3.34,5.04,none,False,71,False
blueberry,fruit,blue,5.0,3.3,6.5,2.7,2.97,12.39,few,False,2,False
watermelon,fruit,green,7.2,0.8,8.1,3.0,0.6,5.7,many,True,6401,False
tomato,vegetable,red,5.5,2.6,7.3,4.2,2.18,3.73,many,False,132,False
banana,fruit,white,6.6,2.0,6.6,3.1,2.87,12.76,none,True,117,True
bell_pepper,vegetable,green,4.3,4.1,7.4,2.8,1.98,2.42,many,True,119,False
grape,fruit,purple,5.7,0.9,6.7,3.6,1.3,1.94,few,False,2,False
cucumber,vegetable,green,3.0,6.4,9.2,1.6,0.45,1.62,few,True,321,False
grape,fruit,purple,7.1,1.8,6.8,3.8,1.52,2.55,few,False,4,False
grape,fruit,orange,7.2,1.8,7.0,3.5,1.44,2.15,few,False,4,False
pineapple,fruit,brown,6.8,1.2,9.1,6.3,1.72,10.94,many,True,919,True
potato,vegetable,brown,2.6,6.2,1.6,1.2,1.63,0.9,none,True,245,False
pear,fruit,green,7.2,6.7,6.1,3.7,5.29,15.64,few,True,153,False
watermelon,fruit,green,5.7,0.8,9.7,3.4,0.75,6.33,many,True,8563,False
strawberry,fruit,orange,5.6,1.4,7.5,4.3,1.52,8.05,many,False,18,False
orange,fruit,orange,5.7,2.5,7.7,5.3,1.84,10.3,many,True,120,True
tomato,vegetable,red,5.1,1.7,7.4,4.8,1.87,3.85,many,False,142,False
onion,vegetable,white,2.3,5.7,4.2,6.0,1.48,5.44,many,True,127,False
cucumber,vegetable,green,4.1,5.9,9.6,1.2,0.44,1.76,few,True,300,False
watermelon,fruit,green,7.2,1.2,8.7,3.6,0.72,6.12,many,True,8651,False
banana,fruit,orange,7.1,1.8,5.9,2.9,3.15,17.5,few,True,117,True
cucumber,vegetable,green,3.3,7.2,8.1,1.9,0.63,1.51,few,True,307,False
pear,fruit,green,6.5,4.9,7.1,3.3,6.21,19.32,few,True,211,False
pear,fruit,green,6.4,4.6,4.6,5.4,6.27,17.34,few,True,174,False
mango,fruit,orange,5.5,2.2,8.3,3.0,2.68,11.47,few,True,230,True
mango,fruit,orange,10,1.4,9.4,4.0,2.73,13.49,none,True,204,True
orange,fruit,orange,5.9,3.0,8.3,5.9,2.77,13.98,many,True,119,True
banana,fruit,yellow,5.7,1.7,5.1,2.7,2.58,13.08,none,True,125,True
mango,fruit,yellow,8.6,1.2,8.8,5.1,3.35,13.5,few,True,217,True
grape,fruit,purple,7.3,1.5,7.9,4.1,2.33,2.17,few,False,4,False
watermelon,fruit,green,6.7,1.7,8.5,2.9,0.52,4.32,few,True,8538,False
orange,fruit,blue,6.0,3.1,7.4,4.2,2.84,13.51,many,True,123,True
spinach,vegetable,green,1.3,2.0,6.3,2.2,2.55,0.43,none,False,28,False
spinach,vegetable,green,1.7,2.5,6.6,0.9,2.43,0.27,none,False,30,False
cucumber,vegetable,green,2.3,6.5,8.9,1.7,0.5,3.02,few,True,351,False
blueberry,fruit,blue,5.5,3.5,7.9,2.8,1.96,10.83,few,False,1,False
strawberry,fruit,red,6.0,4.0,7.2,4.2,2.45,6.62,many,False,23,False
blueberry,fruit,blue,6.0,1.1,5.8,3.0,2.16,8.35,few,False,2,False
apple,fruit,red,5.1,6.4,6.0,3.4,4.21,20.02,few,True,165,False
blueberry,fruit,blue,6.1,3.0,7.4,2.7,2.76,8.74,few,False,1,False
blueberry,fruit,blue,6.4,2.3,7.8,3.3,1.61,7.91,few,False,1,False
bell_pepper,vegetable,green,3.6,5.4,5.1,2.4,1.94,4.19,many,True,109,False
pineapple,fruit,brown,6.3,1.0,9.0,5.8,2.97,12.45,many,True,788,True
watermelon,fruit,green,7.4,1.3,9.1,3.1,0.36,4.56,many,True,7478,False
carrot,vegetable,orange,5.1,7.9,4.1,2.8,2.92,4.82,none,False,61,False
cucumber,vegetable,green,2.9,7.4,7.3,1.9,0.58,1.89,few,True,332,False
mango,fruit,orange,8.1,2.3,6.7,4.6,2.75,13.51,few,True,179,True
apple,fruit,red,6.5,6.0,3.6,4.2,3.29,20.83,few,True,196,False
tomato,vegetable,red,6.2,1.3,8.4,5.3,1.48,2.79,few,False,126,False
bell_pepper,vegetable,green,4.3,6.0,7.1,2.7,1.83,4.23,many,True,94,False
pear,fruit,green,4.7,3.6,6.7,4.5,3.83,22.33,few,True,202,False
strawberry,fruit,red,7.8,3.9,7.3,3.9,1.82,8.03,many,False,15,False
potato,vegetable,brown,1.5,6.9,1.5,1.5,1.7,0.63,none,True,238,False
pineapple,fruit,brown,5.9,0.5,7.9,6.6,2.15,7.64,many,True,794,True
blueberry,fruit,blue,5.0,2.7,5.9,2.4,2.08,8.5,few,False,1,False
blueberry,fruit,blue,7.8,1.4,6.1,2.6,2.38,11.7,few,False,1,False
bell_pepper,vegetable,white,4.7,5.3,5.6,3.7,1.88,3.02,many,True,113,False
cucumber,vegetable,green,3.5,5.1,6.4,1.8,0.61,1.35,few,True,295,False
bell_pepper,vegetable,green,4.8,4.1,6.6,3.0,1.64,2.59,many,True,135,False
watermelon,fruit,green,6.9,1.7,8.5,3.1,1.04,8.16,many,True,6394,False
banana,fruit,yellow,6.5,1.6,5.4,2.6,3.2,13.45,none,True,120,True
grape,fruit,purple,6.4,2.6,7.3,4.4,1.9,2.83,few,False,4,False
pear,fruit,green,8.2,5.7,3.9,4.8,4.38,19.05,few,True,173,False
bell_pepper,vegetable,purple,4.3,5.7,6.0,3.4,1.12,3.5,many,True,121,False
pear,fruit,green,6.3,3.1,7.1,3.4,6.54,18.98,few,True,233,False
grape,fruit,purple,6.7,1.8,6.9,3.2,1.84,3.91,few,False,7,False
pear,fruit,purple,6.7,4.0,5.3,4.5,5.94,13.77,few,True,151,False
watermelon,fruit,green,6.9,1.1,9.2,3.4,0.58,6.88,many,True,10707,False
orange,fruit,orange,6.0,3.8,8.8,6.2,2.53,11.86,many,True,133,True
carrot,vegetable,orange,6.4,9.7,3.0,3.1,2.07,4.81,none,False,57,False
onion,vegetable,white,3.2,5.1,4.8,4.2,1.3,4.83,many,True,134,False
pineapple,fruit,red,6.6,0.9,9.2,5.1,3.09,12.83,many,True,845,True
pear,fruit,green,7.5,3.5,5.8,3.9,7.19,20.6,few,True,201,False
carrot,vegetable,orange,3.8,6.9,3.4,3.2,3.45,4.94,none,False,68,False
grape,fruit,purple,7.1,1.6,7.0,4.9,1.28,2.29,none,False,4,False
bell_pepper,vegetable,green,2.5,3.4,6.3,1.1,1.89,3.55,many,True,115,False
onion,vegetable,white,2.7,5.1,4.3,5.2,1.55,4.8,many,True,167,False
cucumber,vegetable,green,1.6,7.0,9.0,2.1,0.51,0.78,few,True,276,False
pineapple,fruit,brown,6.0,1.1,9.1,7.1,2.61,11.93,many,True,891,True
pineapple,fruit,brown,7.1,1.3,9.7,5.8,3.34,7.73,many,True,850,True
carrot,vegetable,orange,4.4,8.7,2.6,3.2,2.13,6.25,none,False,50,False
pineapple,fruit,brown,6.2,1.1,9.6,5.5,2.91,10.83,many,True,997,True
carrot,vegetable,orange,4.6,7.8,3.4,2.7,3.2,4.97,none,False,52,False
carrot,vegetable,orange,6.2,9.2,3.2,2.8,2.73,5.69,none,False,75,False
apple,fruit,red,6.0,6.0,5.9,3.3,4.68,19.81,few,True,160,False
blueberry,fruit,blue,5.4,2.7,5.3,2.7,2.22,9.16,few,False,1,False
pear,fruit,green,5.5,5.9,4.9,3.0,6.03,18.47,few,True,211,False
mango,fruit,orange,8.5,2.9,8.9,4.0,2.74,14.25,few,True,189,True
onion,vegetable,white,2.4,5.6,3.4,5.6,1.99,4.76,many,True,109,False
apple,fruit,red,6.8,5.0,4.9,3.8,4.07,20.64,none,True,195,False
strawberry,fruit,red,6.4,2.9,6.8,3.5,2.45,7.34,many,False,20,False
grape,fruit,purple,7.8,2.1,5.9,4.2,1.6,4.74,few,False,3,False
orange,fruit,orange,6.2,3.5,7.9,4.8,3.37,12.64,many,True,135,True
grape,fruit,purple,7.4,2.0,8.1,3.7,1.88,1.89,few,False,4,False
mango,fruit,orange,7.8,2.6,7.6,3.7,3.27,16.76,few,True,215,True
blueberry,fruit,blue,4.9,1.6,5.2,3.6,3.04,8.93,few,False,2,False
apple,fruit,red,6.2,5.4,6.5,3.3,3.32,15.97,few,True,188,False
banana,fruit,yellow,6.1,2.5,6.0,3.2,2.95,12.24,none,True,110,True
pear,fruit,green,6.5,5.7,7.5,4.1,5.37,15.64,few,True,171,False
mango,fruit,orange,6.8,1.3,7.5,4.3,2.66,20.36,few,True,188,True
spinach,vegetable,green,1.5,2.0,7.0,2.1,2.42,0.28,none,False,37,False
potato,vegetable,brown,2.1,6.5,1.7,1.4,2.13,1.81,none,True,211,False
grape,fruit,purple,7.3,2.8,7.1,3.6,1.48,3.48,many,False,5,False
carrot,vegetable,orange,3.9,9.3,2.6,3.0,2.49,4.9,none,False,80,False
carrot,vegetable,orange,4.1,7.9,3.1,2.6,3.43,4.22,many,False,56,False
mango,fruit,orange,6.7,3.1,7.4,3.6,3.07,15.79,none,True,215,True
pear,fruit,green,6.5,5.8,5.0,4.4,5.3,15.9,few,True,159,False
watermelon,fruit,green,6.2,0.9,9.8,2.1,0.57,5.65,many,True,7994,False
mango,fruit,orange,10,1.9,8.5,3.3,2.88,9.76,few,True,182,True
apple,fruit,blue,8.3,6.0,3.1,3.7,3.95,16.02,few,True,208,False
grape,fruit,purple,7.5,0.7,8.5,3.1,1.47,4.95,few,False,4,False
banana,fruit,yellow,5.6,2.9,6.6,2.9,3.19,14.07,none,True,121,True
tomato,vegetable,red,4.3,1.7,8.6,3.6,1.27,3.34,many,False,122,False
tomato,vegetable,red,4.6,2.2,8.4,2.7,1.35,3.98,many,False,110,False
orange,fruit,orange,4.7,4.1,8.2,5.9,2.79,11.11,many,True,128,True
blueberry,fruit,blue,5.3,1.8,6.3,3.8,2.1,12.5,few,False,1,False
potato,vegetable,brown,2.8,5.1,1.5,1.6,2.68,1.13,none,True,208,False
blueberry,fruit,blue,6.5,2.7,6.2,2.6,1.98,9.93,few,False,1,False
carrot,vegetable,orange,5.5,8.2,4.6,3.0,2.68,6.73,few,False,47,False
banana,fruit,yellow,7.6,1.8,4.1,3.3,2.84,14.69,none,True,113,True
strawberry,fruit,yellow,6.0,3.0,6.5,4.0,2.0,5.94,many,False,17,False
orange,fruit,orange,6.5,3.5,7.9,5.0,3.43,12.73,many,True,113,True
spinach,vegetable,green,0.9,2.8,7.7,2.0,2.3,0.53,none,False,31,False
onion,vegetable,white,2.8,6.3,3.2,4.0,1.53,5.27,many,True,136,False
grape,fruit,purple,7.2,2.4,6.9,3.9,1.52,4.36,few,False,3,False
cucumber,vegetable,green,2.4,6.7,8.7,1.8,0.34,2.69,few,True,302,False
pineapple,fruit,brown,7.2,1.0,8.5,5.6,2.43,12.4,many,True,1093,True
strawberry,fruit,red,5.9,2.6,6.6,3.8,1.66,7.81,many,False,20,False
pineapple,fruit,brown,6.1,0.9,9.5,5.9,1.94,10.46,many,True,884,True
tomato,vegetable,red,3.9,2.2,7.4,2.9,1.13,5.49,many,False,131,False
apple,fruit,red,6.0,6.2,4.0,3.6,3.08,19.61,few,True,153,False
apple,fruit,red,4.9,6.6,5.7,5.1,3.37,21.74,few,True,149,False
orange,fruit,orange,6.6,3.3,7.4,4.9,2.58,12.78,many,True,128,True
orange,fruit,orange,5.7,2.3,8.6,4.6,2.58,9.64,many,True,131,True
apple,fruit,red,7.4,7.0,5.9,3.5,3.75,18.2,few,True,218,False
grape,fruit,purple,8.3,1.9,6.6,4.7,1.67,4.0,few,False,6,False
orange,fruit,orange,5.3,3.8,7.4,5.1,3.35,13.08,many,True,121,True
blueberry,fruit,white,6.1,2.2,7.2,2.9,1.52,7.8,few,False,1,False
onion,vegetable,white,2.0,6.3,4.1,4.2,2.2,4.62,many,True,185,False
strawberry,fruit,red,6.5,4.0,6.8,4.7,1.55,8.26,many,False,11,False
spinach,vegetable,green,1.3,3.0,7.0,2.2,2.6,0.74,none,False,29,False
grape,fruit,purple,7.3,1.6,7.1,4.2,1.4,4.46,many,False,5,False
watermelon,fruit,green,6.0,0.4,10.0,2.4,0.7,6.07,many,True,6392,False
strawberry,fruit,purple,7.4,2.2,7.3,3.7,2.2,5.13,many,False,21,False
orange,fruit,orange,5.9,2.8,8.3,4.5,3.32,12.61,many,True,113,True
pineapple,fruit,brown,7.0,1.0,9.5,6.2,2.34,11.72,many,True,967,True
mango,fruit,orange,7.3,0.7,8.7,3.4,2.87,14.3,none,True,195,True
mango,fruit,orange,8.5,1.6,8.4,3.2,2.95,16.2,few,True,211,True
carrot,vegetable,orange,4.9,10,4.1,3.5,3.17,6.96,none,False,59,False
watermelon,fruit,green,7.5,1.0,9.6,3.4,0.49,6.64,many,True,8045,False
mango,fruit,orange,9.7,2.9,7.8,4.0,3.24,14.37,few,True,179,True
strawberry,fruit,red,6.1,2.7,6.6,4.2,2.02,6.25,few,False,17,False
grape,fruit,white,6.4,1.3,6.9,3.9,1.19,5.73,few,False,4,False
banana,fruit,brown,5.6,2.6,5.2,2.8,2.83,14.97,none,True,131,True
mango,fruit,orange,7.7,1.8,8.7,3.2,2.23,13.58,few,True,195,True
apple,fruit,red,6.6,5.9,4.6,3.2,4.41,17.82,few,True,188,False
apple,fruit,red,4.6,6.9,5.2,3.9,4.41,22.83,few,True,167,False
watermelon,fruit,green,8.5,1.2,8.3,3.1,0.6,5.48,none,True,6843,False
orange,fruit,orange,7.1,4.5,6.8,4.8,2.94,11.11,few,True,130,True
strawberry,fruit,yellow,6.6,4.4,7.9,3.7,2.18,6.9,many,False,14,False
bell_pepper,vegetable,green,4.7,4.6,5.2,3.3,2.24,3.18,many,True,137,False
pineapple,fruit,brown,7.8,0.1,9.7,6.7,2.81,11.17,many,True,933,True
pear,fruit,purple,6.2,5.4,6.0,4.1,5.99,16.31,few,True,191,False
cucumber,vegetable,green,2.1,5.8,9.5,2.2,0.46,1.78,few,True,269,False
orange,fruit,blue,6.1,2.3,7.9,5.3,2.79,13.37,many,True,130,True
spinach,vegetable,green,0.1,2.0,8.0,2.9,1.49,0.39,none,False,26,False
watermelon,fruit,green,6.7,1.2,8.8,3.6,0.62,6.9,many,True,8903,False
apple,fruit,red,6.2,6.2,5.9,4.2,4.8,18.02,few,True,184,False
onion,vegetable,white,4.3,5.3,3.5,4.4,1.89,4.26,many,True,154,False
bell_pepper,vegetable,green,5.0,6.5,6.8,2.2,2.37,3.17,many,True,110,False
bell_pepper,vegetable,brown,5.0,6.5,6.1,3.8,2.54,2.59,many,True,90,False
pear,fruit,green,6.4,4.7,7.6,4.8,5.64,17.19,few,True,204,False
bell_pepper,vegetable,green,3.4,4.1,6.2,2.2,1.91,2.39,many,True,131,False
pear,fruit,orange,5.4,5.7,4.4,3.3,5.43,19.95,few,True,167,False
tomato,vegetable,red,6.1,1.2,7.0,4.8,1.67,4.62,many,False,136,False
watermelon,fruit,green,5.9,1.8,8.9,3.2,0.49,5.36,many,True,8354,False
onion,vegetable,white,3.6,6.5,3.8,3.9,2.42,5.28,many,True,138,False
tomato,vegetable,red,5.3,2.5,7.7,3.6,1.14,3.31,many,False,103,False
blueberry,fruit,blue,7.0,2.3,6.3,3.5,2.28,9.77,many,False,1,False
mango,fruit,orange,7.9,1.5,8.4,3.2,2.13,9.21,few,True,203,True
orange,fruit,orange,6.8,3.3,7.5,5.4,2.91,13.64,many,True,134,True
onion,vegetable,white,3.0,8.0,4.5,4.8,1.03,5.36,many,True,131,False
cucumber,vegetable,green,4.0,6.4,8.5,2.3,0.55,2.25,few,True,355,False
apple,fruit,red,6.3,5.8,5.3,3.7,4.81,20.87,few,True,157,False
watermelon,fruit,green,7.6,1.1,8.6,3.0,0.7,6.46,many,True,7288,False
cucumber,vegetable,green,2.5,5.5,8.1,1.9,0.47,2.78,few,True,272,False
banana,fruit,yellow,8.5,3.2,6.7,2.3,3.55,13.77,none,True,109,True
carrot,vegetable,orange,4.1,8.1,2.4,2.6,2.2,6.27,none,False,54,False
mango,fruit,orange,7.6,0.8,7.3,3.9,3.28,14.84,few,True,180,True
strawberry,fruit,red,6.0,3.1,7.2,4.6,2.33,8.24,many,False,15,False
grape,fruit,blue,7.3,2.3,8.0,3.0,1.19,3.57,few,False,3,False
grape,fruit,purple,6.7,3.1,7.9,3.6,1.66,4.24,few,False,4,False
grape,fruit,purple,5.3,1.9,6.3,3.6,1.45,3.29,few,False,3,False
onion,vegetable,white,3.0,5.9,4.1,5.6,1.62,3.97,many,True,93,False
orange,fruit,orange,4.9,2.9,8.1,5.2,2.16,15.3,many,True,132,True
pear,fruit,green,5.3,5.0,5.8,4.3,4.52,17.38,few,True,173,False
onion,vegetable,white,2.7,4.9,4.6,5.0,1.81,2.57,many,True,172,False
pear,fruit,white,4.1,4.6,4.9,3.7,4.72,15.63,few,True,195,False
spinach,vegetable,green,0.6,2.8,7.1,1.0,2.69,0.45,none,False,27,False
bell_pepper,vegetable,green,3.1,6.1,7.5,3.7,2.22,3.59,none,True,104,False
pineapple,fruit,brown,6.5,1.2,8.9,6.2,2.51,10.68,many,True,941,True
pear,fruit,green,5.5,4.8,7.5,2.5,4.56,19.87,few,True,202,False
banana,fruit,yellow,6.7,2.7,4.6,2.6,2.72,12.32,none,True,116,True
watermelon,fruit,green,7.3,1.0,10,2.3,0.26,6.91,none,True,10878,False
watermelon,fruit,green,6.1,1.3,9.4,2.9,0.77,7.37,many,True,9614,False
onion,vegetable,white,2.8,5.6,2.3,4.5,1.39,4.65,many,True,128,False
blueberry,fruit,blue,5.7,2.2,5.3,1.5,2.27,9.83,few,False,2,False
potato,vegetable,brown,1.9,6.2,2.4,0.4,2.88,0.99,none,True,209,False
banana,fruit,yellow,7.2,1.8,5.9,2.7,2.91,16.23,none,True,122,True
blueberry,fruit,orange,4.7,2.1,5.4,3.8,2.2,10.05,few,False,1,False
grape,fruit,purple,6.3,1.6,6.3,3.2,1.65,6.07,few,False,5,False
mango,fruit,orange,8.8,2.8,8.8,4.4,2.25,12.61,few,True,195,True
blueberry,fruit,blue,6.0,2.5,4.8,2.8,2.1,10.74,few,False,1,False
spinach,vegetable,green,1.1,2.8,7.4,2.3,2.13,0.58,few,False,37,False
strawberry,fruit,yellow,6.6,3.5,6.3,3.2,1.68,6.26,many,False,19,False
grape,fruit,green,5.4,1.2,6.9,3.1,1.37,4.45,few,False,5,False
pear,fruit,green,6.0,6.0,6.9,3.1,5.26,17.1,few,True,164,False
blueberry,fruit,blue,5.9,2.3,6.2,3.7,2.25,12.07,few,False,1,False
strawberry,fruit,red,7.5,3.2,7.5,4.4,1.26,8.66,many,False,12,False
pear,fruit,orange,6.0,4.4,5.4,2.7,4.99,16.17,few,True,188,False
orange,fruit,orange,5.1,2.7,7.6,4.4,2.33,12.14,many,True,126,True
tomato,vegetable,red,6.1,2.7,8.0,3.6,1.57,3.38,many,False,98,False
banana,fruit,yellow,7.2,1.3,5.3,2.9,3.21,13.64,none,True,123,True
apple,fruit,purple,5.0,5.6,3.2,2.8,4.26,22.13,few,True,165,False
onion,vegetable,white,2.8,6.1,4.1,3.9,0.99,4.6,none,True,158,False
banana,fruit,yellow,7.0,1.7,5.8,2.7,2.47,11.62,none,True,137,True
spinach,vegetable,green,1.7,2.5,7.9,2.1,1.53,0.53,none,False,31,False
banana,fruit,yellow,8.3,3.0,5.1,2.7,3.57,14.88,none,True,125,True
spinach,vegetable,green,0.8,0.9,6.1,2.6,2.76,0.53,many,False,21,False
pineapple,fruit,orange,6.1,1.3,8.3,5.5,2.86,8.04,many,True,788,True
onion,vegetable,white,2.6,3.1,4.4,4.5,1.31,4.13,many,True,137,False
apple,fruit,red,6.7,6.8,6.0,3.4,3.86,20.46,few,True,166,False
watermelon,fruit,green,7.6,1.0,9.0,2.6,0.48,6.96,many,True,9404,False
tomato,vegetable,red,3.9,1.8,8.4,4.4,1.69,2.57,many,False,93,False
bell_pepper,vegetable,green,4.8,4.9,5.4,2.0,1.37,3.71,few,True,117,False
mango,fruit,orange,7.2,1.9,8.0,3.6,2.72,12.95,few,True,245,True
pear,fruit,green,5.0,4.3,5.5,3.8,5.89,16.01,few,True,186,False
onion,vegetable,white,4.1,7.1,3.9,6.2,1.56,4.89,many,True,159,False
apple,fruit,red,6.8,6.1,5.3,5.3,3.44,15.22,few,True,190,False
grape,fruit,purple,7.5,2.8,7.0,3.7,1.44,5.0,few,False,6,False
apple,fruit,red,4.3,7.2,5.4,3.8,3.81,18.81,few,True,179,False
banana,fruit,yellow,5.9,1.2,5.9,3.6,2.99,11.31,none,True,135,True
potato,vegetable,brown,2.0,6.2,2.1,0.6,1.11,1.69,none,True,222,False
grape,fruit,purple,6.3,1.5,7.5,3.8,1.43,3.46,few,False,6,False
grape,fruit,purple,6.6,1.2,7.4,2.8,1.43,4.07,few,False,4,False
strawberry,fruit,red,7.9,3.0,7.2,4.9,2.55,7.78,many,False,17,False
orange,fruit,orange,5.9,2.5,7.9,5.5,3.62,12.6,many,True,137,True
watermelon,fruit,green,6.1,0.9,8.8,3.5,0.48,9.26,many,True,7358,False
pineapple,fruit,brown,3.2,1.5,8.3,5.7,2.91,12.07,few,True,1039,True
pineapple,fruit,brown,6.4,1.1,9.6,5.1,2.32,9.65,many,True,955,True
strawberry,fruit,red,6.4,3.3,7.1,4.3,2.17,6.33,many,False,18,False
grape,fruit,purple,4.9,2.3,5.8,3.0,1.45,5.04,few,False,5,False
mango,fruit,orange,8.2,2.7,8.6,3.9,2.5,11.35,none,True,196,True
grape,fruit,purple,6.6,1.6,7.4,4.0,1.0,3.04,few,False,4,False
blueberry,fruit,blue,5.4,2.5,5.2,3.1,2.07,8.99,few,False,2,False
pineapple,fruit,brown,6.2,0.3,9.6,6.8,1.3,12.53,many,True,934,True
onion,vegetable,white,3.7,5.9,3.8,4.8,2.45,4.91,none,True,158,False
orange,fruit,orange,4.8,2.4,8.4,5.6,3.53,12.19,many,True,102,True
tomato,vegetable,red,5.4,1.7,7.2,4.3,1.61,4.73,many,False,144,False
carrot,vegetable,orange,5.1,7.5,3.1,3.6,3.01,4.23,none,False,78,False
